State,Year,Strain,Cases
Arkansas,2022,A_H3,30.0
Arkansas,2023,A_H3,193.0
Arkansas,2024,A_H3,405.0
California,2015,A_H3,854.0
California,2016,A_H3,4696.0
California,2017,A_H3,4664.0
California,2018,A_H3,1306.0
California,2019,A_H3,272.0
California,2020,A_H3,3.0
California,2021,A_H3,1204.0
California,2022,A_H3,2593.0
California,2023,A_H3,1056.0
California,2024,A_H3,8074.0
Colorado,2015,A_H3,243.0
Colorado,2016,A_H3,267.0
Colorado,2017,A_H3,501.0
Colorado,2018,A_H3,541.0
Colorado,2019,A_H3,53.0
Colorado,2020,A_H3,1.0
Colorado,2021,A_H3,713.0
Colorado,2022,A_H3,448.0
Colorado,2023,A_H3,412.0
Colorado,2024,A_H3,196.0
Connecticut,2015,A_H3,52.0
Connecticut,2016,A_H3,968.0
Connecticut,2017,A_H3,887.0
Connecticut,2018,A_H3,300.0
Connecticut,2019,A_H3,69.0
Connecticut,2020,A_H3,0.0
Connecticut,2021,A_H3,390.0
Connecticut,2022,A_H3,486.0
Connecticut,2023,A_H3,438.0
Connecticut,2024,A_H3,732.0
Delaware,2015,A_H3,20.0
Delaware,2016,A_H3,659.0
Delaware,2017,A_H3,382.0
Delaware,2018,A_H3,411.0
Delaware,2019,A_H3,26.0
Delaware,2020,A_H3,1.0
Delaware,2021,A_H3,522.0
Delaware,2022,A_H3,109.0
Delaware,2023,A_H3,197.0
Delaware,2024,A_H3,425.0
District of Columbia,2015,A_H3,3.0
