"ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","yearly","yearly_lower","yearly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat","State"
2025-01-01,176.911579760763,763.741172803108,763.741172803108,763.741172803108,763.741172803108,763.741172803108,763.741172803108,0,0,0,550.794354471179,1353.76688375617,176.91150724408,176.911661732915,940.652752563871,"South Dakota"
2026-01-01,182.805812450412,626.786278978687,626.786278978687,626.786278978687,626.786278978687,626.786278978687,626.786278978687,0,0,0,407.84843475396,1224.17313988793,182.805562710162,182.80609877403,809.592091429098,"South Dakota"
2027-01-01,188.700045140061,491.456994131171,491.456994131171,491.456994131171,491.456994131171,491.456994131171,491.456994131171,0,0,0,230.444437761662,1109.48695629968,188.699570091801,188.700617637028,680.157039271231,"South Dakota"
2028-01-01,194.594277829709,357.917614722753,357.917614722753,357.917614722753,357.917614722753,357.917614722753,357.917614722753,0,0,0,144.635909308632,981.464392624453,194.593511569334,194.595164732595,552.511892552462,"South Dakota"
2029-01-01,200.50465910207,763.741172802766,763.741172802766,763.741172802766,763.741172802766,763.741172802766,763.741172802766,0,0,0,583.069045347641,1407.67297137539,200.503539413947,200.505962067394,964.245831904836,"South Dakota"
2015-01-01,331.887731902168,-203.544785552816,-203.544785552816,-203.544785552816,-203.544785552816,-203.544785552816,-203.544785552816,0,0,0,-520.558062375878,821.344640394519,331.887731902168,331.887731902168,128.342946349351,"Tennessee"
2016-01-01,426.451974639483,14.0191459304401,14.0191459304401,14.0191459304401,14.0191459304401,14.0191459304401,14.0191459304401,0,0,0,-273.670441234403,1112.04822742927,426.451974639483,426.451974639483,440.471120569923,"Tennessee"
2017-01-01,521.275297422949,-617.570628660657,-617.570628660657,-617.570628660657,-617.570628660657,-617.570628660657,-617.570628660657,0,0,0,-849.392730443275,699.113107954461,521.275297422949,521.275297422949,-96.2953312377084,"Tennessee"
2018-01-01,615.83954017599,-414.160028886399,-414.160028886399,-414.160028886399,-414.160028886399,-414.160028886399,-414.160028886399,0,0,0,-503.295066792686,919.468792203184,615.83954017599,615.83954017599,201.679511289591,"Tennessee"
2019-01-01,710.403782831401,-203.544785552634,-203.544785552634,-203.544785552634,-203.544785552634,-203.544785552634,-203.544785552634,0,0,0,-191.73272750873,1183.71174883935,710.403782831401,710.403782831401,506.858997278767,"Tennessee"
2020-01-01,804.968025524189,14.0191459300848,14.0191459300848,14.0191459300848,14.0191459300848,14.0191459300848,14.0191459300848,0,0,0,76.4166876986314,1507.56505618663,804.968025524189,804.968025524189,818.987171454274,"Tennessee"
2021-01-01,899.791348346037,-617.570628660305,-617.570628660305,-617.570628660305,-617.570628660305,-617.570628660305,-617.570628660305,0,0,0,-446.085094373684,951.824812991287,899.791348346037,899.791348346037,282.220719685731,"Tennessee"
2022-01-01,994.355591112922,-414.160028886135,-414.160028886135,-414.160028886135,-414.160028886135,-414.160028886135,-414.160028886135,0,0,0,-86.2893510461713,1264.4281227594,994.355591112922,994.355591112922,580.195562226787,"Tennessee"
2023-01-01,1088.91983386942,-203.544785553096,-203.544785553096,-203.544785553096,-203.544785553096,-203.544785553096,-203.544785553096,0,0,0,175.654451295276,1545.24602626917,1088.91983386942,1088.91983386942,885.375048316328,"Tennessee"
2024-01-01,1183.48407662593,14.0191459306589,14.0191459306589,14.0191459306589,14.0191459306589,14.0191459306589,14.0191459306589,0,0,0,515.656465977436,1934.81082544548,1183.48407662593,1183.48407662593,1197.50322255659,"Tennessee"
2025-01-01,1278.30739949957,-617.570628660672,-617.570628660672,-617.570628660672,-617.570628660672,-617.570628660672,-617.570628660672,0,0,0,-66.4170629525214,1413.85308478024,1278.30739797112,1278.30740098692,660.736770838899,"Tennessee"
2026-01-01,1372.87164225607,-414.160028885952,-414.160028885952,-414.160028885952,-414.160028885952,-414.160028885952,-414.160028885952,0,0,0,269.133357782714,1685.52402212374,1372.87163660698,1372.87164752214,958.711613370121,"Tennessee"
2027-01-01,1467.43588501258,-203.544785552375,-203.544785552375,-203.544785552375,-203.544785552375,-203.544785552375,-203.544785552375,0,0,0,568.108335091803,1941.96261248682,1467.43587360299,1467.43589656898,1263.8910994602,"Tennessee"
2028-01-01,1562.00012776908,14.0191459299377,14.0191459299377,14.0191459299377,14.0191459299377,14.0191459299377,14.0191459299377,0,0,0,819.322022931197,2186.1119367668,1562.00010992058,1562.00014627558,1576.01927369902,"Tennessee"
